<repo>\reproduction\src\modern_gpu.py:98: UserWarning: Sparse invariant checks are implicitly disabled. Memory errors (e.g. SEGFAULT) will occur when operating on a sparse tensor which violates the invariants, but checks incur performance overhead. To silence this warning, explicitly opt in or out. See `torch.sparse.check_sparse_tensor_invariants.__doc__` for guidance.  (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\aten\src\ATen\Context.cpp:855.)
  self.kernel = torch.sparse_coo_tensor(
2026-09-22 19:50:19,485 Actual-data GPU equivalence checks passed: max error 0.00146484375
2026-09-22 19:51:15,418 Seed 1 | epoch 21/100 | train 1.029359 | val 1.034412 | elapsed 9.6s
2026-09-22 19:51:15,904 Seed 1 | epoch 22/100 | train 1.032827 | val 1.035779 | elapsed 10.1s
2026-09-22 19:51:16,383 Seed 1 | epoch 23/100 | train 1.034630 | val 1.029757 | elapsed 10.6s
2026-09-22 19:51:16,863 Seed 1 | epoch 24/100 | train 1.031893 | val 1.028127 | elapsed 11.0s
2026-09-22 19:51:17,344 Seed 1 | epoch 25/100 | train 1.031793 | val 1.031778 | elapsed 11.5s
2026-09-22 19:51:17,801 Seed 1 | epoch 26/100 | train 1.029415 | val 1.035750 | elapsed 12.0s
2026-09-22 19:51:18,269 Seed 1 | epoch 27/100 | train 1.027557 | val 1.036960 | elapsed 12.4s
2026-09-22 19:51:18,755 Seed 1 | epoch 28/100 | train 1.030481 | val 1.036583 | elapsed 12.9s
2026-09-22 19:51:19,240 Seed 1 | epoch 29/100 | train 1.029497 | val 1.026792 | elapsed 13.4s
2026-09-22 19:51:19,715 Seed 1 | epoch 30/100 | train 1.030645 | val 1.049608 | elapsed 13.9s
2026-09-22 19:51:20,205 Seed 1 | epoch 31/100 | train 1.034839 | val 1.024588 | elapsed 14.4s
2026-09-22 19:51:20,691 Seed 1 | epoch 32/100 | train 1.030431 | val 1.019088 | elapsed 14.9s
2026-09-22 19:51:21,172 Seed 1 | epoch 33/100 | train 1.029608 | val 1.037302 | elapsed 15.3s
2026-09-22 19:51:21,657 Seed 1 | epoch 34/100 | train 1.029600 | val 1.044096 | elapsed 15.8s
2026-09-22 19:51:22,143 Seed 1 | epoch 35/100 | train 1.031282 | val 1.052313 | elapsed 16.3s
2026-09-22 19:51:22,607 Seed 1 | epoch 36/100 | train 1.029071 | val 1.032264 | elapsed 16.8s
2026-09-22 19:51:23,067 Seed 1 | epoch 37/100 | train 1.029864 | val 1.036569 | elapsed 17.2s
2026-09-22 19:51:23,525 Seed 1 | epoch 38/100 | train 1.035251 | val 1.034755 | elapsed 17.7s
2026-09-22 19:51:23,985 Seed 1 | epoch 39/100 | train 1.029906 | val 1.033818 | elapsed 18.2s
2026-09-22 19:51:24,471 Seed 1 | epoch 40/100 | train 1.027761 | val 1.025451 | elapsed 18.6s
2026-09-22 19:51:24,953 Seed 1 | epoch 41/100 | train 1.029884 | val 1.056268 | elapsed 19.1s
2026-09-22 19:51:25,437 Seed 1 | epoch 42/100 | train 1.031988 | val 1.025891 | elapsed 19.6s
2026-09-22 19:51:25,921 Seed 1 | epoch 43/100 | train 1.032539 | val 1.033648 | elapsed 20.1s
2026-09-22 19:51:26,400 Seed 1 | epoch 44/100 | train 1.029067 | val 1.028580 | elapsed 20.6s
2026-09-22 19:51:26,858 Seed 1 | epoch 45/100 | train 1.031188 | val 1.040180 | elapsed 21.0s
2026-09-22 19:51:27,315 Seed 1 | epoch 46/100 | train 1.031826 | val 1.032654 | elapsed 21.5s
2026-09-22 19:51:27,771 Seed 1 | epoch 47/100 | train 1.025391 | val 1.023493 | elapsed 21.9s
2026-09-22 19:51:28,228 Seed 1 | epoch 48/100 | train 1.030747 | val 1.031034 | elapsed 22.4s
2026-09-22 19:51:28,683 Seed 1 | epoch 49/100 | train 1.033299 | val 1.028065 | elapsed 22.9s
2026-09-22 19:51:29,146 Seed 1 | epoch 50/100 | train 1.029779 | val 1.030319 | elapsed 23.3s
2026-09-22 19:51:29,608 Seed 1 | epoch 51/100 | train 1.035844 | val 1.032180 | elapsed 23.8s
2026-09-22 19:51:30,091 Seed 1 | epoch 52/100 | train 1.031902 | val 1.026075 | elapsed 24.3s
2026-09-22 19:51:30,574 Seed 1 | epoch 53/100 | train 1.032861 | val 1.043265 | elapsed 24.7s
2026-09-22 19:51:31,075 Seed 1 | epoch 54/100 | train 1.026265 | val 1.024795 | elapsed 25.2s
2026-09-22 19:51:31,557 Seed 1 | epoch 55/100 | train 1.029132 | val 1.022374 | elapsed 25.7s
2026-09-22 19:51:32,041 Seed 1 | epoch 56/100 | train 1.028976 | val 1.037385 | elapsed 26.2s
2026-09-22 19:51:32,525 Seed 1 | epoch 57/100 | train 1.027142 | val 1.038660 | elapsed 26.7s
2026-09-22 19:51:33,013 Seed 1 | epoch 58/100 | train 1.028768 | val 1.044609 | elapsed 27.2s
2026-09-22 19:51:33,485 Seed 1 | epoch 59/100 | train 1.031746 | val 1.013659 | elapsed 27.7s
2026-09-22 19:51:33,946 Seed 1 | epoch 60/100 | train 1.030934 | val 1.033356 | elapsed 28.1s
2026-09-22 19:51:34,406 Seed 1 | epoch 61/100 | train 1.032827 | val 1.026140 | elapsed 28.6s
2026-09-22 19:51:34,867 Seed 1 | epoch 62/100 | train 1.024543 | val 1.023568 | elapsed 29.0s
2026-09-22 19:51:35,332 Seed 1 | epoch 63/100 | train 1.027418 | val 1.031525 | elapsed 29.5s
2026-09-22 19:51:35,797 Seed 1 | epoch 64/100 | train 1.028174 | val 1.043248 | elapsed 30.0s
2026-09-22 19:51:36,290 Seed 1 | epoch 65/100 | train 1.030016 | val 1.031527 | elapsed 30.5s
2026-09-22 19:51:36,777 Seed 1 | epoch 66/100 | train 1.029286 | val 1.028390 | elapsed 31.0s
2026-09-22 19:51:37,254 Seed 1 | epoch 67/100 | train 1.029141 | val 1.038447 | elapsed 31.4s
2026-09-22 19:51:37,706 Seed 1 | epoch 68/100 | train 1.028296 | val 1.024928 | elapsed 31.9s
2026-09-22 19:51:38,174 Seed 1 | epoch 69/100 | train 1.030224 | val 1.047308 | elapsed 32.3s
2026-09-22 19:51:38,633 Seed 1 | epoch 70/100 | train 1.032071 | val 1.033511 | elapsed 32.8s
2026-09-22 19:51:39,089 Seed 1 | epoch 71/100 | train 1.026072 | val 1.030933 | elapsed 33.3s
2026-09-22 19:51:39,564 Seed 1 | epoch 72/100 | train 1.033603 | val 1.025922 | elapsed 33.7s
2026-09-22 19:51:40,054 Seed 1 | epoch 73/100 | train 1.029550 | val 1.030078 | elapsed 34.2s
2026-09-22 19:51:40,540 Seed 1 | epoch 74/100 | train 1.033979 | val 1.040511 | elapsed 34.7s
2026-09-22 19:51:41,027 Seed 1 | epoch 75/100 | train 1.029651 | val 1.038507 | elapsed 35.2s
2026-09-22 19:51:41,513 Seed 1 | epoch 76/100 | train 1.030262 | val 1.040810 | elapsed 35.7s
2026-09-22 19:51:41,998 Seed 1 | epoch 77/100 | train 1.027875 | val 1.030239 | elapsed 36.2s
2026-09-22 19:51:42,486 Seed 1 | epoch 78/100 | train 1.031121 | val 1.038312 | elapsed 36.7s
2026-09-22 19:51:42,972 Seed 1 | epoch 79/100 | train 1.034363 | val 1.025447 | elapsed 37.1s
2026-09-22 19:51:43,467 Seed 1 | epoch 80/100 | train 1.031302 | val 1.028680 | elapsed 37.6s
2026-09-22 19:51:43,952 Seed 1 | epoch 81/100 | train 1.031272 | val 1.027317 | elapsed 38.1s
2026-09-22 19:51:44,442 Seed 1 | epoch 82/100 | train 1.027315 | val 1.038824 | elapsed 38.6s
2026-09-22 19:51:44,933 Seed 1 | epoch 83/100 | train 1.025716 | val 1.045909 | elapsed 39.1s
2026-09-22 19:51:45,417 Seed 1 | epoch 84/100 | train 1.030851 | val 1.035605 | elapsed 39.6s
2026-09-22 19:51:45,902 Seed 1 | epoch 85/100 | train 1.025232 | val 1.042967 | elapsed 40.1s
2026-09-22 19:51:46,389 Seed 1 | epoch 86/100 | train 1.028456 | val 1.041183 | elapsed 40.6s
2026-09-22 19:51:46,876 Seed 1 | epoch 87/100 | train 1.027770 | val 1.022546 | elapsed 41.1s
2026-09-22 19:51:47,362 Seed 1 | epoch 88/100 | train 1.028021 | val 1.038348 | elapsed 41.5s
2026-09-22 19:51:47,824 Seed 1 | epoch 89/100 | train 1.031401 | val 1.032411 | elapsed 42.0s
2026-09-22 19:51:48,288 Seed 1 | epoch 90/100 | train 1.029459 | val 1.028758 | elapsed 42.5s
2026-09-22 19:51:48,752 Seed 1 | epoch 91/100 | train 1.031015 | val 1.022214 | elapsed 42.9s
2026-09-22 19:51:49,218 Seed 1 | epoch 92/100 | train 1.032993 | val 1.032669 | elapsed 43.4s
2026-09-22 19:51:49,680 Seed 1 | epoch 93/100 | train 1.032296 | val 1.041609 | elapsed 43.9s
2026-09-22 19:51:50,142 Seed 1 | epoch 94/100 | train 1.026865 | val 1.036468 | elapsed 44.3s
2026-09-22 19:51:50,603 Seed 1 | epoch 95/100 | train 1.030051 | val 1.029679 | elapsed 44.8s
2026-09-22 19:51:51,064 Seed 1 | epoch 96/100 | train 1.032064 | val 1.030449 | elapsed 45.2s
2026-09-22 19:51:51,514 Seed 1 | epoch 97/100 | train 1.030189 | val 1.044541 | elapsed 45.7s
2026-09-22 19:51:51,960 Seed 1 | epoch 98/100 | train 1.031263 | val 1.018690 | elapsed 46.1s
2026-09-22 19:51:52,408 Seed 1 | epoch 99/100 | train 1.026711 | val 1.036676 | elapsed 46.6s
2026-09-22 19:51:52,851 Seed 1 | epoch 100/100 | train 1.028451 | val 1.024885 | elapsed 47.0s
2026-09-22 19:51:52,912 Seed 1 complete; best epoch 59
2026-09-22 19:51:54,447 Seed 2 | epoch 1/100 | train 1.049860 | val 1.055740 | elapsed 0.5s
2026-09-22 19:51:54,911 Seed 2 | epoch 2/100 | train 1.039361 | val 1.052568 | elapsed 0.9s
2026-09-22 19:51:55,372 Seed 2 | epoch 3/100 | train 1.039727 | val 1.024764 | elapsed 1.4s
2026-09-22 19:51:55,840 Seed 2 | epoch 4/100 | train 1.038166 | val 1.035767 | elapsed 1.9s
2026-09-22 19:51:56,306 Seed 2 | epoch 5/100 | train 1.035958 | val 1.036219 | elapsed 2.3s
2026-09-22 19:51:56,767 Seed 2 | epoch 6/100 | train 1.035101 | val 1.038264 | elapsed 2.8s
2026-09-22 19:51:57,226 Seed 2 | epoch 7/100 | train 1.036368 | val 1.042461 | elapsed 3.2s
2026-09-22 19:51:57,685 Seed 2 | epoch 8/100 | train 1.041933 | val 1.044155 | elapsed 3.7s
2026-09-22 19:51:58,146 Seed 2 | epoch 9/100 | train 1.034987 | val 1.041483 | elapsed 4.2s
2026-09-22 19:51:58,606 Seed 2 | epoch 10/100 | train 1.035822 | val 1.039757 | elapsed 4.6s
2026-09-22 19:51:59,070 Seed 2 | epoch 11/100 | train 1.034732 | val 1.049954 | elapsed 5.1s
2026-09-22 19:51:59,530 Seed 2 | epoch 12/100 | train 1.033161 | val 1.029781 | elapsed 5.5s
2026-09-22 19:51:59,995 Seed 2 | epoch 13/100 | train 1.037191 | val 1.031370 | elapsed 6.0s
2026-09-22 19:52:00,461 Seed 2 | epoch 14/100 | train 1.032230 | val 1.031776 | elapsed 6.5s
2026-09-22 19:52:00,926 Seed 2 | epoch 15/100 | train 1.034821 | val 1.024827 | elapsed 6.9s
2026-09-22 19:52:01,390 Seed 2 | epoch 16/100 | train 1.032481 | val 1.037336 | elapsed 7.4s
2026-09-22 19:52:01,856 Seed 2 | epoch 17/100 | train 1.033196 | val 1.031648 | elapsed 7.9s
2026-09-22 19:52:02,310 Seed 2 | epoch 18/100 | train 1.038176 | val 1.030786 | elapsed 8.3s
2026-09-22 19:52:02,758 Seed 2 | epoch 19/100 | train 1.034663 | val 1.033901 | elapsed 8.8s
2026-09-22 19:52:03,202 Seed 2 | epoch 20/100 | train 1.033697 | val 1.040878 | elapsed 9.2s
2026-09-22 19:52:03,654 Seed 2 | epoch 21/100 | train 1.034940 | val 1.027967 | elapsed 9.7s
